Organization Name,Phone Number,Address,Description
Youth and Family Counseling,972-724-2005,1980 E. University Dr, Denton, TX,(also have Lewisville office)
Arlington Housing Authority,817-275-3351,501 W. Sanford St., Ste 20, Arlington, TX,Dallas Housing Authority
Dallas Housing Authority,214-951-8300,939 N. Hampton Rd, Dallas, TX,
Denton Housing Authority,940-383-3039,1225 Wilson, Denton, TX,Ennis Housing Authority
Ennis Housing Authority,972-878-7451,200 Arnold St, Ennis, TX,Fort Worth Housing Authority
Fort Worth Housing Authority,817-336-2419,1201 E. 13,th
Frisco Housing Authority,972-377-3031,6891 Main St, Frisco, TX,Garland Housing Authority
Garland Housing Authority,972-205-3393,210 Carver Dr, # 210B, Garland, TX,Granbury Housing Authority
Granbury Housing Authority,817-573-1107,503 N. Crockett St, Granbury, TX,Grand Prairie Housing Authority
Grand Prairie Housing Authority,972-237-8176,205 W Church St, Grand Prairie, TX,Grapevine Housing Authority
Grapevine Housing Authority,817-488-8132,131 Starr Place, Grapevine, TX,Haltom City Housing Authority
Haltom City Housing Authority,817-834-0691,2800 Moneda Ave, Haltom City, TX,Lancaster Housing Authority
Lancaster Housing Authority,972-275-1750,1425 N Dallas Ave, Lancaster, TX,McKinney Housing Authority
McKinney Housing Authority,972-542-5641,1200 N. Tennessee St, McKinney, TX,Mesquite Housing Authority
Mesquite Housing Authority,972-216-6424,1616 N. Galloway Ave, Mesquite, TX,Plano Housing Authority
Plano Housing Authority,972-423-4928,1740 G Ave, Plano, TX,Rockwall Housing Authority
Rockwall Housing Authority,972-771-0211,100 Lake Meadows Dr, Rockwall, TX,Tarrant County Housing Authority
Tarrant County Housing Authority,817-531-7654,2100 Circle Dr, #200, Fort Worth, TX,Waxahachie Housing Authority
