Collin County,,,,
Allen Community Outreach,"Allen, TX","Assistance with rent, utilities, food, clothing, medical, household goods, school supplies, life coaching, GED classes",Mon-Fri                                                          8:30 AM - 12:30 PM                             1:30 PM - 4:30 PM,801 E. Main St.          (972) 727-9131 www.acocares.org 
,,,,
Assistance Center of Collin County,"Plano, TX","Assistance with rent, utilities, food, prescription meds, school supplies, holiday gifts and food, job searching, & financial counseling",Mon-Fri                                                         9:00 AM - 5:00 PM                       Closed Wednesdays,900 E. 18th St.           (972) 422-1850  www.assistancecenter.org
,,,,
Church of the Holy Nativity,"Plano, TX",Food pantry for individuals living in the Plano Independent School District,Call to determine eligibility (work with Assistance Center of CC),2200 18th St.             (214) 704-5689                 https://www.holynativity.org/food-pantry/ 
,,,,
BedStart,"Plano, TX","Beds, dressers, tables, living room furniture, and other home essentials ",Complete request form online,"P.O. Box 866322
Plano, TX 75086 www.bedstart.org"
,,,,
Community Lifeline Center,"McKinney, TX",Short term utiliy assitance and food pantry by appointment on Tuesdays and Thursdays. ,Mon-Thurs                                                   8:30 AM - 2:30 PM                               ,1601 N Waddil            ST# 102                      (972) 542-0020  www.communitylifeline.org
,,,,
Frisco Family Services,"Frisco, TX","Food pantry, assistance with rent, utilities, clothing, tuition, employment costs, gas vouchers, school supplies for Frisco ISD and Frisco residents",Mon-Fri   9:00 AM - 5:00 PM    (Wed close at 6:00)                     Resale Shop Hours:                       Mon-Sat  10:00-6:00PM               (Sat close at 5:00 PM) , 8780 Third St.              Food Pantry:              9085 Dogwood St          (972) 335-9495  www.friscocenter.org
,,,,
Minnie's Food Pantry,"Plano, TX", Free food to families in need based on availability. Photo ID and a utility bill OR lease with YOUR name and address on it required.,"Wed-Fri, 1st & 3rd Sat                             8:30am-11:00am",661 18th St.                   (972) 596-0253  www.minniesfoodpantry.org
,,,,
Collin County,,,,
Plano Clothes Closet,"Plano, TX",Gently used clothes and small household items,By appointment only,1500 Jupiter Rd.                 (First Presbyterian Church)                   (972) 424-7844
,,,,
Salvation Army McKinney,"McKinney, TX","Emergency financial assistance, food pantry, summer heat relief, disaster relief, clothes, angel tree","Mon-Fri   8:00 AM - 5:00 PM
Food Pantry:
Mon, Wed at 10 am (perishable)
Tue, Thu 8:30-11:30 am (non-perishable)
 ",600 Wilson Creek Pkwy.                       (972) 542-6694 www.salvationarmydfw.org/p/locations/McKinney
,,,,
Salvation Army Plano,"Plano, TX","Emergency financial assistance, food pantry, summer heat relief, disaster relief, thrift store, holiday assistance, after-school program, Boys & Girls club","Mon-Fri 9:00-4:00    
  Food pantry: Mon, Wed, Thurs 10:00-2:00 PM ",3528 E. 14th St.        (972) 423-8254 www.salvationarmydfw.org/p/locations/Plano
,,,,
