Collin County,,,,
Bella House                                                       469-249--+2656,"Plano, TX","PREGNANT WOMEN 18+, faith-based housing program, assistance with pre-natal care, low-cost housing, & educational programs, therapy, life skills, parenting ","Intakes:
Sarah Roskam
(682)320-5248
Patty Sherod 
(972) 690-5711 ","P.O. Box 940802
​Plano, TX 75094
(972) 379-7450 www.bellahouse.org/"
,,,,
Blake's House,"Plano, TX","WOMEN 18-25, homeless women, women aging out of care, & victims of domestic violence; life skills, mentorship, financial incentives",Apply online. Background check and references required,(972) 358-4732 www.blakeshouse.org
,,,,
,,,,
City House,"Plano, TX","ADULTS 18-21, housing for up to 18 months, case management, counseling, life skills classes, employment and educational assistance","Office Hours                                               9:30 AM - 4:00 PM,                       Crisis Line available 24/7",901 18th St.               (972) 424-4626 www.cityhouse.org
,,,,
,,,,
Job Corps of North Texas,"McKinney, TX","AGES 16-24, long-term job training program with housing provided, assistance with H.S. diploma or GED, career training programs, recreational activities","Call Admissions Counselor
 Kevin Martinez (469) 207-0038",1701 N. Church Street (972) 542-2623 www.northtexas.jobcorps.gov/home.aspx
,,,,
,,,,
Samaritan Inn,"McKinney, TX","Adults and Families, Case management, life skills, no pets. ID and SSN required. Must work full time, no dissability, drug screen and background check required.","Intakes: Sun, Tue, Thurs. 9:00 AM - 1:30 PM. First come, first serve basis. No wait list. Call prior to going and be specific about what you need.",1710 North McDonald 972-542-5302. www.thesamaritaninn.org
Shiloh Place,"McKinney, TX","SINGLE MOMS aged 20+ with 1-2 CHILDREN no older than 10. Can stay up to 2 years. Must have a HS Diploma/GED, car, and pass background check. No extreme mental illness, recent drug addiction or domestic violence.","Call for admissions
(214) 218-0336","P.O. Box 2731   McKinney, TX 75070  (469) 534-9407  www.shilohplacemckinney.com"
,,,,
Oak Creek Place,"McKinney, TX","Women 18-24 aging out of foster care. Housing, life skills, educational asistance, healthcare, faith based. ",Ask for Kristin Mycke or Myron Wilson,"6190 Virginia Pkwy #500
Mckinney, TX 75071
(214) 544-9055"
,,,,
,,,,
Dallas County,,,,
Elevate North T,"Dallas, Tx                                                                                    Carrolton, Tx",Adults 18+ to 24 years old- 30 day hotel voucher program,Call for Info,214-556-5916 
,,,,
,,,,
,,,,
,,,,
Bridges Safe House,"Cedar Hill, TX ","WOMEN 18+ ( PREGNANT, OR PARENTING) WITH CHILDREN UP TO 6 YRS., 30 days for short term program, counseling, mentoring, life skills, parenting, Maternity Program (Length of pregnancy plus 6-8 weeks after birth) or Supportive Living Program(6-12 months)",Call for info, Safe house: 469-272-441                         Resource Center: 214-940-0951       www.bridgessafehouse.org
,,,,
Buckner Family Pathways,"Dallas, TX","SINGLE PARENT FAMILIES, must be 18+ and be enrolled in an educational or vocational program; housing, financial assistance, case management, counseling, childcare, parenting",Call for info,700 N. Pearl St. #1200 (214) 328-3141  www.buckner.org/family-pathways
,,,,
Dallas Hope Center,"Dallas, TX","LGBTQ YOUTH 18-24, transitional housing for up to a year, case management, life skills, education, job assistance, health and mental health services",Call for info,(214) 351-1901 www.dallashopecharities.org
Ebby House,"Dallas, TX","WOMEN 18-24 WHO HAVE AGED OUT OF CARE, residential living for up to 2 years, life skills, job training, education & medical assistance ",Call for info                                  only 12 young women at a time,1234 Abrams Road  (214) 515-1347 www.fowlercommunities.org/ebbyhouse.aspx
,,,,
Exodus Ministries,"Dallas, TX","EX-OFFENDING WOMEN & THEIR CHILDREN, furnished apartment, basic living needs, childcare, job preparation, mentorship, financial planning",Apply online,4630 Munger Ave #110  (214) 827-3772 www.exodusministries.org/
,,,,
Family Gateway,"Dallas, TX","FAMILIES WITH AT LEAST 1 CHILD UNDER 18, housing for 4-5 months, case management, educational services, medical care, employment services","Call to schedule intake interview:                     Mon-Fri 8:00-4:30 PM                    Birth certificates, S.S., photo ID,  proof of homelessness required",711 S. St. Paul St.      (214) 823-4500 x201 www.familygateway.org
,,,,
Interfaith Home & Hope Program,"Dallas, TX","FAMILIES, furnished apartment with decreased rent, case management, employment services, counseling, childcare, life skills",Call to apply,5600 Ross Avenue    (214) 827-7220  www.ihcdallas.org
,,,,
Jonathan's Place,"Garland, TX","WOMEN 18-22 IN CPS CARE, TLP, educational, employment, & financial assistance",Call for info,6065 Duck Creek       (972) 303-5303  www.jpkids.org
,,,,
,,,,
Dallas County,,,,
Legacy Founder's Cottage,"Dallas, TX","ADULTS WITH HIV/AIDS, 24-hour supervised care, meals, hospice, counseling, medical support, bereavement services, housing assistance",Call for info,828 S. Tyler                  (214) 520-6308 ext 1 www.legacycares.org
,,,,
Our Friend's Place,"Dallas, TX","WOMEN 18-24, educational, employment, & financial assistance, life skills classes",Call to apply,6500 Greenville Ave. Suite #620                 (214) 520-6268  www.ourfriendsplace.org
,,,,
Promise House,"Dallas, TX","YOUTH 16-24, case management, employment assistance, life skills, medical care, mental health service, substance abuse treatment, parenting classes",Phase 1: Emergency shelter-under 18 only                                              Phase 2: Group home                 Phase 3: Independent apartment,224 W. Page Ave.     (214) 941-8578 www.promisehouse.org
,,,,
Promise House                       (Wesley Inn),"Dallas, TX","PREGNANT/PARENTING WOMEN 14-20, housing up to 2 years; case management, counseling, life skills, pre- & post-natal care, transportation, employment & educational assistance, childcare, parenting classes",Call for info,224 W. Page Ave.     (214) 941-8578 www.promisehouse.org
,,,,
"Shared Housing Center, Inc.","Dallas, TX","ADULTS (21+) & FAMILIES, home sharing and group residence programs; case management, employment & educational assistance, financial classes, mentoring, permanent housing assistance, counseling, life skills","Office Hours: Mon-Thurs & Fri      by appt. only Application, background check, references, & drug testing required.                                            Apply online",402 N. Good Latimer   (214) 821-8510 x 110 www.sharedhousing.org
,,,,
Texas Challenge Academy,"Dallas, TX","YOUTH 16-18, 5 1/2 month residential military academy sponsored by the Texas National Guard, tuition-free education",Call for info,"979-232-1594
 lwilliams@riceraiders.net"
,,,,
