Collin County,,,,,,,
Child and Family Guidance Center,"McKinney & Plano, TX","CHILDREN & FAMILIES, individual & family counseling, assessments, case management, med management, rehabilitation services, parenting classes","Accept private insurance, self-pay, CHIP, Medicaid, Medicare, & EAP plans ",McKinney:                  2300 West White #104 (866) 544-1887       Plano:                          4031 W. Plano Pkwy. Suite 21                       (214) 351-3490  ,,,
,,,,,,,
Collin County Children's Advocacy Center,"Plano, TX","ABUSED CHILDREN & NON-OFFENDING FAMILY MEMBERS, individual, family, group, play, music, art, and bilingual therapy, forensic interviews, case management, assistance with basic needs",Free,2205 Los Rios Blvd.   (972) 633-6600  www.caccollincounty.org,,,
,,,,,,,
LifePath Systems ,"McKinney & Plano, TX","ALL, individual or group mental health and substance abuse counseling, psychological evaluations & med management","Uninsured, Medicaid, & private insurance accepted",Plano:                          7308 Alma Dr.           (972) 422-5939 McKinney:                   1515 Heritage Dr.      (972) 562-9647 www.lifepathsystems.org ,,,
,,,,,,,
Piper Kiser,"Plano, TX","AGES 12+, Counseling for depression, anxiety, trauma, women's issues, substance abuse, sexual abuse, domestic violence, eating disorders, LGBT issues, PTSD, & caregiving for aging parents",Free introductory session; Fees discussed for following sessions (Some sliding-scale available),Main Office: 2105 W Spring Creek  Pkwy  Suite 350 #109 Plano Tx (214) 477-5410  www.piperkiser.com,,,
Family Focused Care,Prosper TX,,,221 North Preston Suite C Prosper Tx 75078,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Collin County,,,,,,,
SMU: Center for Family Counseling,"Plano, TX","ALL, individual, family, group, and bilingual counseling",Free intake; Low to no-cost sessions ($45 and below) Daytime & Evening appts. Available,"6116 N. Central Expressway, Suite 410 (214) 768-6789  www.smu.edu",,,
,,,,,,,
Starry Counseling ,"Collin, Cooke, Delta, Fannin, Grayson, Hopkins, Hunt, Lamar, Rains, Rockwell County","FAMILIES WITH CHILDREN 17 & UNDER, individual, group, & family counseling, parenting classes also available ",Free for up to 6 months;                                      Do not accept children with an open CPS case or on probation.                   Crisis Services:                          (844)226-1789,"McKinney:                     2150 S Central Expy Suite 160 
(469) 617-7476            
",,,
,,,,,,,
Refuge City ,"Richardson, TX","ALL, up to age 21 who have experienced human trafficking, no matter the gender or parental status. Free counseling, GED classes through Richardson ISD, Therapetuic Art, 12-step program","21 or older, Must have been traffickied and/or sexually exploited either currently or in the past",(214)-966-0703                   Email:                 refugecity@refuge-city.org,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dallas County,,,,,,,
