Individuals,,,,
Samaritan Inn,"Mckinney, TX","ADULTS & FAMILIES, case management, life skills, job training, no pets. ID and SSN required.  Must work f/t, No disability, take drug screen & background check.","Intakes:  Sun., Tues., Thurs. 9:00 AM-1:30 PM. First come first serve basis-no wait list. **CALL BEFORE GO & BE SPECIFIC WHAT/WHO LOOKING FOR.    ",1710 North McDonald (972) 542-5302  www.thesamaritaninn.org
,,,,
Austin Street Center,"Dallas, TX","MEN 45+ & WOMEN 18+, Veterans program, medical respite, case management, substance abuse & mental health intervention.  Education & employment resource center.  ","Men's intake: Mon. - Sat. 4:00-6:00PM, & Sun. 2-6       Women's intake:                           Mon-Sat 2:00-6:00 PM  & Sun 11:00 AM-6:00 PM 
Call ahead to check IF ID required. Max. 2 bags, 25 lbs. each.",2929 Hickory St.        (214) 428-4242  www.austinstreet.org
Dallas Life ,"Dallas, TX","ADULTS & FAMILIES, meals, shelter, clothing, counseling, medical, dental & vision, spiritual services, disability services, senior program, computer classes & GED certification, anger management & alcohol recovery classes","Intake: 10:00 AM - 4:00 PM, 7 days p/w
 Required: I.D., S.S., marriage license, children's birth certificates,military ID, gov ID ",1100 Cadiz.                (214) 421-1380  www.dallaslife.org
Salvation Army Dallas (Social Service Center),"Dallas, TX","ADULTS, substance abuse, domestic violence & veterans programs; life skills classes","Intake daily at 3:00 PM 'till full; usually within 1 hour! Line-up at least 1 hour ahead of time. Vets intake at VAhospital-screening office. 
 ID required. No sex predators",5302 Harry Hines Blvd. (214) 424-7050  www.salvationarmydfw.org/p/locations/206 
The Bridge,"Dallas, TX","ADULTS & FAMILIES, day shelter (laundry, mail, meals, etc.), emergency night shelter, mental health & recovery services, jail diversion/reentry, employment services, assistance with housing","Intakes Mon-Fri, 5AM-Midnight
No ID required",1818 Corsicana St.   (214) 670-1507 www.bridgenorthtexas.org 
Salvation Army Denton,"Denton, TX","ADULTS SINGLE MOMS AND SINGLE WOMEN, emergency night shelter, senior services, ESL classes",Open Daily                              9:00 AM - 12:00 PM and             1:00 PM - 4:00 PM,1508 E. McKinney St. (940) 566-3800 www.salvationarmydfw.org/p/locations/Denton
Monsignor King Outreach,"Denton, TX","ADULTS, emergency night shelter, meals Mon-Wed","Open 6:30 PM - 8:00 AM Mon-Wed and *during inclement weather only (32° or below, 100° or above, or during severe storms)*",300 S. Woodrow        (940) 391-1919     www.kingoutreachcenter.com         or text Betty Kay
,,,,
Arlington Life Shelter,"Arlington, TX (Tarrant County)","ADULTS & FAMILIES, emergency shelter for up to 3 nights. 1 night emergency stay granted  during extreme heat or cold (below 40 or above 100 degres),  long-term employment program, life skills classes, job readiness, case management, health services","2 forms of I.D. (One must contain photo)& background check required for Intakes No felonies within last 5 years. NO crimes against children
New residents intake @ 2 to 4 daily                                                  During extreme weather: 6:00 PM
 Employment program intake: 4:00 PM",325 W. Division St.    (817) 548-9885  www.arlingtonlifeshelter.org
