Collin County,,,,,DALLAS,,,,
Greater Dallas Life Skills,"Plano, TX","YOUTH 11-17 & ADULTS, Court-ordered, CPS-ordered, employer-ordered, or proactive life skills, anger management, anti-theft, parenting, etc.",Must register in advance. Classes range from $225-385. Youth receive $100 off class price.,"(214) 448-3763             5700 Granite Pkwy
#200, &                                5068 W. Plano Pkwy #300 www.greaterdallaslifeskills.com",Texas Challenge Academy (TCA) Military Recruiter ,(979) 232-1594,Dallas,5 1/2 month residential military academy sponsored by the Texas National Gurard. Tuition free education program for youth age 16 - 18 who are disengaged from school.  Alternative education for at-risk youth and high school dropouts.  ,
,,,,,1775 California Crossing Rd.,,,,
Hope Women's Center,"McKinney, TX","WOMEN, pregnancy testing, ultrasounds, STD testing, options counseling, abortion education, post-abortion support ",Free,www.myhope.org,https://tmd.texas.gov/texas-challenge-academy,,,,
,,,,,,,,,
Life Talk,"Frisco, TX","WOMEN, pregnancy tests, ultrasounds/sonograms, STD testing, options counseling, pre- and post-abortion counseling, parenting classes",Free (on a limited basis),"8380 Warren Parkway, Suite 204
(214) 618-9352 www.lifetalkprc.org/",,,,,
,,,,,,,,,
Real Options for Women,"Plano, TX","WOMEN, pregnancy tests, ultrasounds, STD testing, pregnancy consultation",Free,700 E Park Blvd #206  (972) 424-5144 www.realoptionsforwomen.com/,,,,,
,,,,,,,,,
This Side Up Family Center,"Plano, TX","FAMILIES, family connection nights, parenting education, marriage enrichment program, single parent support groups    ",Free;                                                             Verify dates & locations of classes on online calendar. Registration fees are returned upon attendance to class. Childcare available. ,1201 E. 15th St. #202 (972) 633-8783 www.thissideupfamily.org,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dallas County,,,,,,,,,
Anthem Strong Families,"Dallas, TX","ALL, parenting workshops, teen workshops, relationship workshops, 12-week fatherhood program (anger management, child support education, assistance with transportation & vocational training)",Prices vary; register & find classes online,12800 Hillcrest Rd.    Suite A-101                   (214) 426-0900  www.bethechampion.org,,,,,
,,,,,,,,,
Christian Works,"Dallas, TX","CHILDREN & FAMILIES, grief support groups, divorce support groups, post-adoption support groups",Free,5440 Harvest Hill #140 (972) 960-9981  www.christian-works.org,,,,,
,,,,,,,,,
Family Tree Program,"Farmers Branch, TX","TEENS & PARENTS, parenting and teen groups on a variety of topics including communication, conflict resolution, & anger management; Spanish classes available",Free,"2727 LBJ Freeway #406 (972) 353-9404  
www.familytreeprogram.org/services/class-schedules/",,,,,
,,,,,,,,,
Galaxy Counseling Center,"Garland, TX","ADULTS, anger management ($45 intake + $20 for 9 sessions), 12-week parenting program ($20 per session), adult general support group ($10 per session); services available in Spanish",Contact for class dates,1025 South Jupiter Rd.  (972) 272-4429 www.galaxycounseling.org/,,,,,
,,,,,,,,,
Greater Dallas Life Skills,Various,"YOUTH 11-17 & ADULTS, Court-ordered, CPS-ordered, employer-ordered, or proactive life skills, anger management, anti-theft, parenting, etc.",Must register in advance. Classes range from $225-385. Youth receive $100 off class price.,"Locations in Dallas, Garland, Irving, & Desoto                         (214) 448-3763 www.greaterdallaslifeskills.com/",,,,,
,,,,,,,,,
Thrive Women's Clinic,"Dallas, TX","WOMEN, pregnancy test, options counseling, nutrition & childbirth classes, baby items & clothing, classes for fathers",Free,"East Dallas:                              
(214) 369-6281                                         Central Dallas:
(214) 343-9263                            West Dallas: 
(214) 905-9068",,,,,
Dallas County,,,,,,,,,
The Way Back House Resource Center,"Dallas, TX","EX-OFFENDERS, job search assistance, housing referrals, clothing referrals",Open Mon-Fri                                    9:00 AM - 2:00 PM,"1804 Market Center
(214) 352-5674 www.thewaybackhouse.org",,,,,
,,,,,,,,,
Downtown Pregnancy Center,"Dallas, TX","WOMEN, abortion options, counseling, pregancny tests, sonograms",,"525 N Ervay Dallas, TX 75201                              (214) 969-2433",,,,,
,,,,,,,,,
Texas Challenge Academy (TCA) Military Recruiter ,Dallas,5 1/2 month residential military academy sponsored by the Texas National Gurard. Tuition free education program for youth age 16 - 18 who are disengaged from school.  Alternative education for at-risk youth and high school dropouts.  ,,(979) 232-1594,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Denton County,,,,,,,,,
Family Tree Program,"Denton & Lewisville, TX","TEENS & PARENTS, parenting and teen groups on a variety of topics including communication, conflict resolution, & anger management; Spanish classes available",Free,"(888) 837-0666 ext. 2 Lewisville:  
326 S. Edmonds #103 
Denton:  
1614 Scripture St. #200
www.familytreeprogram.org/services/class-schedules/",,,,,
,,,,,,,,,
Innovative Counseling Services,"Carrollton, TX","ADOLESCENTS, Runaway Intervention Program educating youth about the risks and consequences of running away and providing family conflict coping skills training",Offered one Thursday per month;                                5:00 - 6:30 PM                                      $90                                                                   Call to register,3740 N. Josey Ln. #156 (469) 774-1305 www.innovativecounselingservices.com,,,,,
,,,,,,,,,
Someone Cares Advocacy and Pregnancy Center,"Lewisville, TX","WOMEN, free pregnancy test, counseling, referrals for Medicaid, adoption, and pre-natal care",Tues-Sat                                                           10:00 AM - 2:00 PM                         Walk-ins welcome,2021 N Mill St.           (972) 436-1981 www.someonecaresoftexas.org/,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Misc. Counties,,,,,,,,,
Greater Dallas Life Skills,"Arlington & Fort Worth, TX","YOUTH 11-17 & ADULTS, Court-ordered, CPS-ordered, employer-ordered, or proactive life skills, anger management, anti-theft, parenting, etc.",Must register in advance. Classes range from $225-385. Youth receive $100 off class price.,Arlington:                   2000 E. Lamar #600     Fort Worth:                     777 Main St. #600                        (214) 448-3763 www.greaterdallaslifeskills.com/,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Santa Fe Youth Services,"Fort Worth, TX (Tarrant County)","YOUTH 10-17 & THEIR FAMILIES, 7-week Strengthening Families Program that provides parent, youth, and family skills training; Adolescent Community Reinforcement Approach (ACRA) youth substance abuse counseling program that provides education and parenting support",Strengthening Families: Free                                    ACRA: Call for info,7524 Mosier View Ct.    Suite 200                              (817) 492-4673 www.santafeyouth.org/,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Daily Meal Providers: Dallas County,,,,,,,,,
The Bridge,"Dallas, TX",Meals Provided:                                                    Sunday-Monday 7 a.m.-11:30 a.m.,214-670-1100,"1818 Corsicana Dallas, TX",,,,,
,,,,,,,,,
Cornerstone Kitchen,"Dallas, TX",Meals Provided:                                            Monday: 6 a.m.-2 p.m.                                   Tuesday: 12:30 p.m.-7:30 p.m.                   Wednesday: 6 p.m.                                                   Thursday: 12:30 p.m.                                          Saturday: 11 a.m.-3 p.m.,,"2715 S Ervay Dallas, TX",,,,,
,,,,,,,,,
   Dallas Intl. Street Church,"Dallas, TX","Meals Provided:
Sunday: 11 a.m.-7 p.m.
Monday: 12:30 p.m.
Tuesday-Friday: 12:30 p.m.-7 p.m.
Saturday: 12:30 p.m.",,"2706 S 2nd Ave Dallas, TX",,,,,
,,,,,,,,,
Main Street Church of Christ,"Dallas, TX",Meals Provided: Sunday-Friday: 9 a.m-12:30 p.m.,,"4300 Main St Dallas, TX",,,,,
,,,,,,,,,
Our Calling,"Dallas, TX","Meals Provided:
Monday: 12:30 p.m.
Tuesday-Fri: 11:30 a.m.
Saturday: 9:30 a.m.",,"1702 S Cesar Chavez Blvd Dallas, TX",,,,,
,,,,,,,,,
Mercy House,"Dallas, TX",Saturday Meal Provider: 9:00a-2:00p,,"1100  W Griffin St Dallas, TX 75215 (214) 663-6782",,,,,
,,,,,,,,,
Solomon's Porch ,"Dallas, TX",Saturday Meal Provider: 8:00a-2:00p,,Call for address                                       (214) 827-3927,,,,,
,,,,,,,,,
St. Paul's Body and Soul,"Dallas, TX",Saturday Meal Provider: 8:00a                           Sunday at 3:30p,,"1816 Routh St Dallas, TX                  (214) 922-0000",,,,,
