Organization Name,URL,Description,Phone Number,Address
"undefined","www.acocares.or  g","","972-727-9131","200 South Mill St."
"","www.assistancecenter.org","","972-422-1850","307 Smith St."
"1 ","www.ccahelps.org","1","972-422-1125","1500 Jupiter Rd., Plano, TX 75074"
" ","www.ccgd.org","","972-219-4300","1401 Mira Vista"
" ","www.communitylifeline.org","","214-871-5065","2929 Hickory St., Dallas, TX 75226"
" ","www.salvationarmyusa.org","","972-542-0020","100 Cadiz St., Dallas, TX 75215"
"RESOURCE GUIDE ","www.ntfb.org","","972-423-8254","3712 Wichita Street, Ft. Worth, TX 76119"
" ","www.community-foodpantry.org","Counseling Department","972-542-6694","10505 Denton Drive, Dallas TX 75220"
" ","www.holynativity.org/outreach/the-","RESOURCE GUIDE","214-269-0906","2501 Oak Lawn Avenue, Suite 500"
" ","www.friscocenter.org","","972-547-4404","10503 Metric Dr., Dallas, TX 75243"
" ","www.austinstreet.org","","County: 972-422-1125","909 West Spring Creek Parkway, Suite"
"Revised: May 2022 ","www.dallaslife.org","","972-423-4292","1401 Mira Vista Street"
"2 ","www.elevatentx.org","","County: 972-422-1125","8915 Harry Hines Blvd."
"Other Miscellaneous Referrals...................................  27 ","www.familygateway.org","","972-422-1850","2205 Los Rios Blvd., Plano, TX 75074"
" ","www.familypromiseofcollincounty.org","Revised: May 2022","972-335-9495","3200 Southern Drive, Suite 100"
" ","www.salvationarmyusa.org","","214-501-2181","5402 Arapaho Rd."
"3 ","www.thesamaritaninn.org","2","469-385-1815","7308 Alma Dr., Plano, TX 75025"
"Community Resources ","www.ugmdallas.org","","214-428-4242","1515 Heritage Dr., McKinney, TX 75069"
"received. ","www.cityhous  e.  or  g","INDEX","972-358-4732","1380 River Bend Drive,"
"Organization Name Description Phone ","www.dallascounty.org/department/juve","Page","214-421-1380","12225 Greenville Ave., Suite 800"
"All Community Outreach","www.promisehouse.org","Community Resources.................................................   3","214-556-5916","1221 Abrams Rd. Suite 325"
"career counseling.","www.hope4agape.org","Homeless Shelters......................................................   5","214-823-4500","6401 Eldorado Pkwy, Suite 327"
"972-727-9131","www.bellahouse.org","Support Groups............................................................          9","972-442-6966","4501 Medical Center Drive, Ste. 300"
"Assistance Center of Collin County","www.cityhouse.org/","Counseling Services.....................................................         11","214-424-7000","2808 Swiss Ave"
"Plano,  TX 75074","www.emilysplacetx.org","Domestic Violence Services........................................         15","972-542-5302","3325 Silverstone Dr."
"-Holiday: Food and Gifts Christmas and Thanksgiving food. ","www.materfiliusdallas.org","Drug Treatment Referrals...........................................  17","214-637-6117","1180 Union Circle"
" ","www.ourfriendsplace.org","Gay, Lesbian, Bisexual & Transgender......................  19","214-638-2988","545 Mockingbird Lane"
"972-422-1125","www.sharedhousing.org","Psychiatric Hospitals...................................................  20","888-296-8099","4411 Lemmon Ave., Suite 201"
"Christian Community Action","www.al-anon.alateen.org","Vocation/Employment...............................................          21","972-424-4626","6401 Independence Parkway"
"Lewisville, TX 75057","www.aadallas.org","Hotlines.........................................................................  22","972-971-0278","2225 Parker Road"
"Food pantry-drive through assistance ","www.bily.org","Medical Referrals....................................................... ..  23","214-357-0391","7777 Forest Lane, Suite C-410"
" ","www.atcoftexas.org","Other Miscellaneous Referrals...................................  27","214-941-8578","2301 Ohio Dr., #150"
"972-219-4300","www.na.org","","469-814-0453","828 Tyler St. Dallas, TX 75208"
"Collin CARES ","www.standrewumc.org","","469-249-2656","3918 Harry Hines Blvd., Dallas TX 75219"
" (833) 696-0804 ","www.cityhouse.org","","972-424-4626","4500 Medical Center Dr"
"online.org  ","www.citexas.wordpress.com","3","972-424-7775","3933 Northwest Parkway, Dallas"
"Dallas","www.jfsdallas.org","","972-836-9378","1424 Hemphill Street"
"Dallas, TX 75247","www.lifepathsystems.org","Community Resources","214-520-6268","1631 Dorchester Dr."
"living in greater Dallas.  ","www.medicalcitygreenoaks.com","","214-821-8510","4510 Medical Center Drive, Ste. 204"
"214-871-5065","www.metrocareservices.org","*The following resources are available in the community. Collin College’s Counseling Services does not  endorse","469-534-9407","3325 Silverstone Dr."
"Community Lifeline Center","www.richlandoaks.org","any particular res  ource. It is the indivi  dual’s responsib ility to research and make choices based upon information","214-363-0461","4510 Medical Center Dr., Ste. 201"
