Organization Name,Phone Number,Address,Description,Url
Abigail’s Arms (Gainesville),940-665-2873,N/A,"Children, individuals, & families",https://abigailsarms.org/
Emily’s Place (Collin County),972-424-7775,N/A,"Single women, women with children",https://emilysplacetx.org/
Family Abuse Center (Waxahachie),"469-309-4440, hotline: 800-283-8401",N/A,N/A,https://emilysplacetx.org/
The Family Place (Dallas),214-941-1991,N/A,"Men, women, & children",http://www.familyplace.org/
Friends of the Family (Denton),940-382-7273,N/A,Women & children,https://www.dcfof.org/
The Gatehouse (Grapevine),817-522-4871,N/A,21 years or older; single woman or single mother with children,https://www.gatehousegrapevine.com/
Genesis Center (Kaufman),972-932-4351,N/A,Women & children,https://www.genesiscenter.org/
Genesis Women’s Shelter (Dallas),214-946-4357,N/A,Women & children,https://www.genesisshelter.org/
GRACE Transitional Housing (Grapevine),817-305-4640,N/A,For single women or women with children (up to 3),http://www.gracegrapevine.org/
Grayson County Shelter (Denison),903-465-6041,N/A,Displaced families & singles,https://www.graysoncountyshelter.com/
Hope’s Door (Collin County),"972-422-2911 (Crisis Line),972-422-7233",N/A,Women & children,https://www.hopesdoorinc.org/
Mosaic Family Services (Dallas),214-823-4434,N/A,Women & children,http://mosaicservices.org/
Need a Break (Dallas),800-458-5369,N/A,Women & children,http://www.needabreakinc.org/
New Beginning Center (Dallas),972-276-0423,N/A,"Men, women, & children",https://www.hopesdoorinc.org/
Open Arms,817-281-1164,"6250 NE Loop 820,N Richland Hills, TX",Single women and women with children,http://tarrant.tx.networkofcare.org/
Peaceful Oasis,972-880-4192,N/A,Women/women & children,http://tmwf.org/family-violence/
River of Life,214-886-3563,N/A,Women & children,http://riveroflifechurchdfw.com/contact/
The Salvation Army (Dallas),214-424-7208,N/A,Women & children,http://www.salvationarmyusa.org/usn/
WISE CASA,214-536-3051,"125 W Wintergreen Rd, Cedar Hill, TX",Single women,https://www.yellowpages.com/cedar-hill-tx/mip/wise-casa-504087524
Women In Need (Greenville),903-454-4357,N/A,Women & children,https://www.wintexas.org/
