Organization Name,Phone Number,Address,Description,Url
The Agape Clinic,972-707-7782,"4104 Junius Street, Dallas, TX",N/A,http://www.theagapeclinic.org/
Baylor Community Care at Worth Street,214-828-1745,"4001 Worth St., Dallas, TX",N/A,http://www.worthstreetclinic.com/Pages/default.aspx
CitySquare Community Clinic,214-421-1783,"2835 Al Lipscomb Way, Dallas, TX",N/A,https://www.citysquare.org/
Denton County Public Health Clinic,940-349-2900,"535 S. Loop 288, Suite 1003, Denton, TX",N/A,https://dentoncounty.com/health
Focus on Teens,214-643-6047,"3131 McKinney Ave. #600, Dallas, TX",N/A,http://focusonteens.org/contact-us/
Healing Hands,214-221-0855,"8515 Greenville Ave., Dallas, TX",N/A,http://healinghandsdallas.org/
Los Barrios Unidos,214-540-0300,"Various locations in West Dallas community",N/A,http://losbarriosunidos.org/
Mission East Dallas (Medical & Dental),972-682-8917,"4550 Gus Thomasson Rd., Suite 36, Dallas, TX",N/A,http://missioneastdallas.org/
North Dallas Shared Ministries,214-358-8700,"2875 Merrel Rd., Dallas, TX","Dental Clinic: 9-10 am M-F; Regular clinic open at different times",https://www.ndsm.org/
Parkland Hospital - HOMES Program,214-590-8000,N/A,"Mobile clinics provide health care to homeless pediatric, adult patients",https://www.parklandhospital.com/phhs/news-and-updates/parklands-homes-program-reaches-the-most-vulnerabl-399.aspx
QuestCare Clinic,469-317-0028,"9780 LBJ Frwy, Dallas, TX",N/A,http://questcareclinic.org/
Woven Health Clinic,972-484-8444,"1 Medical Pkwy, Ste 149, Farmers Branch, TX",N/A,http://wovenhealth.org/
