Organization Name,Phone Number,Address,Description,Url
Arlington Housing Authority,817-275-3351,"501 W. Sanford St., Ste 20, Arlington, TX",N/A,http://www.arlington-tx.gov/housing/
Dallas Housing Authority,214-951-8300,"939 N. Hampton Rd, Dallas, TX",N/A,http://www.dhadal.com/
Denton Housing Authority,940-383-3039,"1225 Wilson, Denton, TX",N/A,http://www.dentonhousingauthority.com/
Ennis Housing Authority,972-878-7451,"200 Arnold St, Ennis, TX",N/A,https://affordablehousingonline.com/housing-authority/Texas/Housing-Authority-of-Ennis/TX070
Fort Worth Housing Authority,817-336-2419,"1201 E. 13th, Fort Worth, TX",N/A,N/A
Frisco Housing Authority,972-377-3031,"6891 Main St, Frisco, TX",N/A,http://www.friscoha.org/
Garland Housing Authority,972-205-3393,"210 Carver Dr, # 210B, Garland, TX",N/A,http://www.ci.garland.tx.us/gov/hk/housing/gha/default.asp
Granbury Housing Authority,817-573-1107,"503 N. Crockett St, Granbury, TX",N/A,http://www.granburyhousing.org/
Grand Prairie Housing Authority,972-237-8176,"205 W Church St, Grand Prairie, TX",N/A,http://portal.hud.gov/hudportal/HUD
Grapevine Housing Authority,817-488-8132,"131 Starr Place, Grapevine, TX",N/A,https://www.grapevinetexas.gov/110/Grapevine-Housing-Authority
Haltom City Housing Authority,817-834-0691,"2800 Moneda Ave, Haltom City, TX",N/A,https://affordablehousingonline.com/housing-authority/Texas/Housing-Authority-of-Haltom-City/TX153
Lancaster Housing Authority,972-275-1750,"1425 N Dallas Ave, Lancaster, TX",N/A,https://affordablehousingonline.com/housing-authority/Texas/Lancaster-Housing-Authority/TX437
McKinney Housing Authority,972-542-5641,"1200 N. Tennessee St, McKinney, TX",N/A,http://mckinneyha.org/pages/section-8.php
Mesquite Housing Authority,972-216-6424,"1616 N. Galloway Ave, Mesquite, TX",N/A,https://www.cityofmesquite.com/452/Housing-Division
Plano Housing Authority,972-423-4928,"1740 G Ave, Plano, TX",N/A,http://www.planoha.org/
Rockwall Housing Authority,972-771-0211,"100 Lake Meadows Dr, Rockwall, TX",N/A,https://affordablehousingonline.com/housing-authority/Texas/Housing-Authority-of-Rockwall/TX095
Tarrant County Housing Authority,817-531-7654,"2100 Circle Dr, #200, Fort Worth, TX",N/A,https://www.tarrantcounty.com/en/housing-assistance-office.html
Waxahachie Housing Authority,972-937-5730,"208 Patrick St, Waxahachie, TX",N/A,https://affordablehousingonline.com/housing-authority/Texas/Housing-Authority-of-Waxahachie/TX015
